brsr_id,esrs_datapoint_id,rank,teacher_score,margin_to_next,candidate_universe,zero_shot
A18,S1-6_15,1,1.1564511060714722,0.13611865043640137,1201,True
A18,SBM-1_03,2,1.0203324556350708,0.320533812046051,1201,True
A18,S1-6_18,3,0.6997986435890198,0.01704198122024536,1201,True
A18,S1-7_08,4,0.6827566623687744,0.29032349586486816,1201,True
A18,S1-17_12,5,0.39243316650390625,0.041685909032821655,1201,True
A18,S1-6_01,6,0.3507472574710846,0.0328117311000824,1201,True
A18,S1-6_17,7,0.3179355263710022,0.04604479670524597,1201,True
A18,E1-9_39,8,0.2718907296657562,0.023689284920692444,1201,True
A18,E1-9_40,9,0.24820144474506378,0.003780543804168701,1201,True
A18,G1-5_02,10,0.24442090094089508,0.0073480308055877686,1201,True
A18,S1-1_02,11,0.2370728701353073,0.03535240888595581,1201,True
A18,E1-4_19,12,0.2017204612493515,0.011231750249862671,1201,True
A18,S3-1_08,13,0.19048871099948883,0.03699606657028198,1201,True
A18,S4-1_08,14,0.15349264442920685,0.022187024354934692,1201,True
A18,S2-1_10,15,0.13130562007427216,0.010282397270202637,1201,True
A18,S1-11_02,16,0.12102322280406952,0.03269732743501663,1201,True
A18,S1-6_07,17,0.08832589536905289,0.07598962262272835,1201,True
A18,SBM-3_08,18,0.01233627274632454,0.10463055595755577,1201,True
A18,S1-2_13,19,-0.09229428321123123,0.004563912749290466,1201,True
A18,G1-5_03,20,-0.0968581959605217,0.08195029944181442,1201,True
A18,SBM-3_09,21,-0.17880849540233612,0.018237456679344177,1201,True
A18,S1-11_03,22,-0.1970459520816803,0.023681432008743286,1201,True
A18,S1-17_06,23,-0.22072738409042358,0.01648879051208496,1201,True
A18,E5-6_02,24,-0.23721617460250854,0.0660005509853363,1201,True
A18,E1-9_23,25,-0.30321672558784485,0.0009805858135223389,1201,True
A18,E1-9_10,26,-0.3041973114013672,0.005773812532424927,1201,True
A18,S1-11_01,27,-0.3099711239337921,0.014463603496551514,1201,True
A18,S1-11_05,28,-0.32443472743034363,0.00012108683586120605,1201,True
A18,GOV-1_03,29,-0.32455581426620483,0.0007028281688690186,1201,True
A18,E1-9_18,30,-0.32525864243507385,0.02605605125427246,1201,True
A18,E1-9_38,31,-0.3513146936893463,0.01890939474105835,1201,True
A18,G1-5_08,32,-0.37022408843040466,0.01576569676399231,1201,True
A18,S1-15_04,33,-0.385989785194397,0.00222700834274292,1201,True
A18,MDR-A_07,34,-0.3882167935371399,0.016422897577285767,1201,True
A18,E1-9_13,35,-0.40463969111442566,0.01824951171875,1201,True
A18,S1-4_17,36,-0.42288920283317566,0.013926535844802856,1201,True
A18,SBM-3_11,37,-0.4368157386779785,0.005101591348648071,1201,True
A18,E4-6_06,38,-0.4419173300266266,0.006675392389297485,1201,True
A18,S1-11_04,39,-0.4485927224159241,0.0036001503467559814,1201,True
A18,S1-12_02,40,-0.45219287276268005,0.02174365520477295,1201,True
A18,S1-16_05,41,-0.473936527967453,0.01842653751373291,1201,True
A18,E1-1_05,42,-0.4923630654811859,0.02922263741493225,1201,True
A18,E1-1_06,43,-0.5215857028961182,0.0396079421043396,1201,True
A18,S1-11_08,44,-0.5611936450004578,0.022894442081451416,1201,True
A18,S3-4_16,45,-0.5840880870819092,0.01703667640686035,1201,True
A18,S1-7_09,46,-0.6011247634887695,0.002552211284637451,1201,True
